	#	rad	RA	Dec	Plx	e	pmRA	e.1	pmDE	e.2	RUWE	Gmag	e.3	BPmag	e.4	RPmag	e.5	RVDR2	e.6	Tefftemp	loggtemp	dist	RAs	Decs	Ns	Nd	Ng	Nr	Ni	Nz	Ny	gmag	rmag	imag	zmag	ymag
89	2.0077	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0164	0.294	8.0	0.299	21.2491	19.546389	0.004269	20.3296	0.121672	19.5799	0.02847	18.9589	99.99		99.9		312.74893738	44.33321425	0.0133	31.0	0.0	5.0	10.0	10.0	6.0	999.9999	99.9999	0.144	0.0221	0.0355	0.0154
90	2.0086	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0179	0.294	4.0	0.299	21.2345	19.546389	0.004269	20.5249	0.121672	19.7468	0.02847	19.2203	99.99		99.9		312.78815518	44.34726329	0.0187	40.0	1.0	9.0	14.0	9.0	7.0	21.3544	0.1304	0.1449	0.0366	0.0205	0.1511
91	2.0127	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0142	0.294	4.0	0.299	21.3733	19.546389	0.004269	20.0954	0.121672	19.3814	0.02847	18.7688	99.99		99.9		312.78233314	44.34236012	0.0109	31.0	0.0	8.0	9.0	7.0	7.0	999.9999	99.9999	0.1018	0.0139	0.0308	0.0185
92	2.0141	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0177	0.294	10.0	0.299	19.4924	19.546389	0.004269	17.7777	0.121672	16.7243	0.02847	16.2308	99.99		99.9		312.72859451	44.33679186	0.0055	61.0	13.0	14.0	13.0	11.0	10.0	20.9558	0.0508	0.057	0.0345	0.0065	0.0045
93	2.015	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0399	0.294	3.0	0.299	99.9999	19.546389	0.004269	21.2355	0.121672	20.2497	0.02847	19.6747	99.99		99.9		312.77281819	44.33731262	0.0339	10.0	0.0	0.0	5.0	3.0	2.0	999.9999	99.9999	99.9999	0.1736	0.0064	0.0737
94	2.0256	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0243	0.294	5.0	0.299	19.4451	19.546389	0.004269	18.353	0.121672	17.6987	0.02847	17.2264	99.99		99.9		312.76401328	44.33442747	0.0058	45.0	10.0	12.0	11.0	9.0	3.0	20.9979	0.067	0.0235	0.0075	0.0033	0.0183
95	2.0299	312.8627924158662	44.3487278029122	0.4648	0.2887	0.001	0.294	5.0	0.299	20.996	19.546389	0.004269	19.5028	0.121672	19.3752	0.02847	18.2116	99.99		99.9		312.78365375	44.34288589	0.001	7.0	0.0	2.0	2.0	1.0	2.0	999.9999	99.9999	0.09	0.0145	0.0938	0.008
96	2.0387	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0062	0.294	10.0	0.299	17.6567	19.546389	0.004269	16.7335	0.121672	16.1372	0.02847	15.6986	99.99		99.9		312.79062267	44.34903352	0.0045	55.0	10.0	14.0	13.0	9.0	9.0	19.1717	0.0204	0.0068	0.0031	0.0013	0.0065
97	2.0449	312.8627924158662	44.3487278029122	0.4648	0.2887	0.1361	0.294	4.0	0.299	21.7224	19.546389	0.004269	20.047	0.121672	19.1837	0.02847	18.5186	99.99		99.9		312.77029833	44.33583069	0.3497	37.0	2.0	6.0	11.0	11.0	7.0	15.8943	0.4137	0.031	0.0198	0.0195	0.0309
98	2.045	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0357	0.294	8.0	0.299	19.6415	19.546389	0.004269	18.568	0.121672	17.9034	0.02847	17.4115	99.99		99.9		312.72341276	44.33837847	0.0363	26.0	1.0	8.0	6.0	6.0	5.0	21.3967	0.0857	0.0028	0.0098	0.0164	0.0206
99	2.0486	312.8627924158662	44.3487278029122	0.4648	0.2887	0.078	0.294	6.0	0.299	21.2056	19.546389	0.004269	99.9999	0.121672	99.9999	0.02847	99.9999	99.99		99.9		312.71047106	44.34750962	0.078	3.0	1.0	2.0	0.0	0.0	0.0	21.615	0.1724	0.0895	99.9999	99.9999	99.9999
