#    rad      RA           Dec          Plx       e        pmRA      e       pmDE      e      RUWE       Gmag       e        BPmag       e        RPmag       e       RVDR2    e   Tefftemp loggtemp
 1.3700  312.8938360022095  +44.3394643760778     -2.5654  1.5118     -7.260  1.541     -6.630  1.708     1.166  20.830664  0.012611  21.014140  0.427368  19.586370  0.094355  9999.99 99.99   9999.9     99.9
 1.3779  312.8313993692339  +44.3492355013065      0.3961  0.0295     -1.025  0.031     -2.598  0.034     1.021  15.645642  0.002798  16.730787  0.005262  14.596833  0.003987  9999.99 99.99   9999.9     99.9
 1.3820  312.8341122801875  +44.3359852699205     -0.5227  0.9417     -3.221  0.963     -0.680  0.959     1.041  20.642248  0.008306  21.168137  0.228132  19.435009  0.077564  9999.99 99.99   9999.9     99.9
 1.3943  312.8528763552728  +44.3238603884940      0.6194  0.3689     -1.707  0.362     -2.395  0.383     1.056  19.853819  0.009547  21.729015  0.165376  18.417934  0.021933  9999.99 99.99   9999.9     99.9
 1.4183  312.8741003248945  +44.3235823764949      0.6279  0.1202      2.022  0.127      0.460  0.144     0.960  18.196404  0.003214  19.759270  0.084857  16.967232  0.010344  9999.99 99.99   9999.9     99.9
 1.4235  312.8300605136185  +44.3469157406566      1.6241  0.7978     -6.325  0.943     -6.555  0.830     1.070  20.518305  0.008865  21.529392  0.153061  19.261095  0.054204  9999.99 99.99   9999.9     99.9
 1.4275  312.8671758240761  +44.3223021038496      0.5662  0.2952     -6.952  0.301     -7.825  0.307     1.057  19.476288  0.005103  20.870817  0.112323  18.207130  0.025410  9999.99 99.99   9999.9     99.9
 1.4367  312.8435607574265  +44.3264928422832      0.6876  0.1690     -3.700  0.182     -0.089  0.211     1.113  18.603706  0.003418  20.431686  0.084921  17.313078  0.011304  9999.99 99.99   9999.9     99.9
 1.4500  312.8737620434478  +44.3229562689195     -0.5647  0.5510     -1.789  0.609     -4.050  0.666     1.117  20.293043  0.006584  21.493559  0.483297  18.770819  0.052080  9999.99 99.99   9999.9     99.9
 1.4735  312.8420328501558  +44.3265551615710      1.2422  0.0630     -0.852  0.067     -4.246  0.070     1.006  17.151062  0.003723  18.869596  0.029327  15.898326  0.007424  9999.99 99.99   9999.9     99.9
 1.4763  312.8707231662943  +44.3699190551862      0.6115  0.3539     -4.726  0.346     -4.824  0.364     1.063  19.819994  0.004995  21.239727  0.171437  18.522457  0.022316  9999.99 99.99   9999.9     99.9
 1.4787  312.8819148330010  +44.3665381438547      1.6626  0.0455     11.694  0.047     -0.535  0.050     1.055  16.578650  0.002823  17.428528  0.006575  15.672492  0.004724  9999.99 99.99   9999.9     99.9
 1.4811  312.8888901053800  +44.3623529630900  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.073442  0.019016  21.643047  0.627233  19.782299  0.149612  9999.99 99.99   9999.9     99.9
 1.4919  312.8964817984485  +44.3387900232344      0.2898  0.5081     -0.627  0.527     -4.735  0.576     1.103  20.158375  0.006102  21.190090  0.139239  18.926687  0.035053  9999.99 99.99   9999.9     99.9
 1.4942  312.8388170579013  +44.3281101667839      1.0819  0.8005     -1.788  0.845     -3.277  1.110     1.129  20.554777  0.009738  21.369493  0.177305  19.273100  0.057965  9999.99 99.99   9999.9     99.9
 1.5137  312.8538151859556  +44.3702330271663      0.4026  0.1727     -3.903  0.187     -5.132  0.194     1.088  18.645280  0.003534  20.537970  0.106612  17.347244  0.013932  9999.99 99.99   9999.9     99.9
 1.5138  312.8322150103957  +44.3338455149256      0.2912  0.2973     -4.441  0.284     -5.780  0.285     1.027  19.477547  0.004427  21.097721  0.124138  18.232273  0.018549  9999.99 99.99   9999.9     99.9
